[2026-02-05 14:28:43] [DOWODCA] START
[2026-02-05 14:28:43] [OPERATOR] START
[2026-02-05 14:28:44] [DRON 3171850] LOT | bateria=99%
[2026-02-05 14:28:44] [DRON 3171700] LOT | bateria=99%
[2026-02-05 14:28:44] [DRON 3171867] LOT | bateria=99%
[2026-02-05 14:28:44] [DRON 3171932] LOT | bateria=96%
[2026-02-05 14:28:44] [DRON 3171711] LOT | bateria=99%
[2026-02-05 14:28:44] [DRON 3171704] LOT | bateria=99%
[2026-02-05 14:28:44] [DRON 3171785] LOT | bateria=98%
[2026-02-05 14:28:44] [DRON 3171801] LOT | bateria=98%
[2026-02-05 14:28:44] [DRON 3171774] LOT | bateria=97%
[2026-02-05 14:28:44] [DRON 3171858] LOT | bateria=96%
[2026-02-05 14:28:44] [DRON 3171715] LOT | bateria=97%
[2026-02-05 14:28:44] [DRON 3171824] LOT | bateria=99%
[2026-02-05 14:28:44] [DRON 3171753] LOT | bateria=99%
[2026-02-05 14:28:44] [DRON 3171912] LOT | bateria=99%
[2026-02-05 14:28:44] [DRON 3171728] LOT | bateria=99%
[2026-02-05 14:28:44] [DRON 3171701] LOT | bateria=98%
[2026-02-05 14:28:44] [DRON 3171818] LOT | bateria=99%
[2026-02-05 14:28:44] [DRON 3171745] LOT | bateria=99%
[2026-02-05 14:28:44] [DRON 3171816] LOT | bateria=99%
[2026-02-05 14:28:44] [DRON 3171875] LOT | bateria=98%
[2026-02-05 14:28:44] [DRON 3171987] LOT | bateria=99%
[2026-02-05 14:28:44] [DRON 3171989] START | T1=29s T2=72s T_return=14s drain=1%/s
[2026-02-05 14:28:44] [DRON 3171849] START | T1=35s T2=87s T_return=17s drain=1%/s
[2026-02-05 14:28:44] [DRON 3171733] LOT | bateria=99%
[2026-02-05 14:28:44] [DRON 3171796] LOT | bateria=99%
[2026-02-05 14:28:44] [DRON 3171725] LOT | bateria=99%
[2026-02-05 14:28:44] [DRON 3171729] LOT | bateria=99%
[2026-02-05 14:28:44] [DRON 3171831] LOT | bateria=99%
[2026-02-05 14:28:44] [DRON 3171802] LOT | bateria=99%
